id,name,category,unit,brand,image,price,original_price,bundle,promo_start,promo_end,description
2600860,"פלמוליב קרם רחצה לגוף בניחוח חלב ודבש 750 מ""ל",כללי,יחידה,פלמוליב,"images/מחירון/פלמוליב קרם רחצה לגוף בניחוח חלב ודבש 750 מ""ל.jpg",14.9,16.9,,,,מגוון ריחות
8400027,"ARGANIA מסיכה טיפולית לשיער פגום מאוד מועשר בחומצה היאלורונית וקרטין ללא מלחים 500 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מסיכה טיפולית לשיער פגום מאוד מועשר בחומצה היאלורונית וקרטין ללא מלחים 500 מ""ל.jpg",33.9,,,,,
8400020,"ARGANIA מסיכה לשיער מתולתל ומסולסל על בסיס חומצה היאלורונית וחמאת שיאה 500 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מסיכה לשיער מתולתל ומסולסל על בסיס חומצה היאלורונית וחמאת שיאה 500 מ""ל.jpg",33.9,,,,,
8400029,"ARGANIA מסיכה לשיער קיק לחיזוק השורש והשיערה 500 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מסיכה לשיער קיק לחיזוק השורש והשיערה 500 מ""ל.jpg",33.9,,,,,
8400028,"ARGANIA מסיכה לשיער שעבר החלקה על בסיס קרטין וארגן 500 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מסיכה לשיער שעבר החלקה על בסיס קרטין וארגן 500 מ""ל.jpg",33.9,,,,,
8400031,"ARGANIA מרכך ארגן לכל סוגי השיער ללא מלחים 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מרכך ארגן לכל סוגי השיער ללא מלחים  450 מ""ל.jpg",27,,,,,
8400024,"ARGANIA מרכך חומצה היאלורונית וחמאת שיאה לשיער מתולתל ומסולסל 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מרכך חומצה היאלורונית וחמאת שיאה לשיער מתולתל ומסולסל 450 מ""ל.jpg",27,,,,,
8400032,"ARGANIA מרכך טיפולי חומצה היאלרונית וקרטין ללא מלחים לשיער פגום מאוד 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מרכך טיפולי חומצה היאלרונית וקרטין ללא מלחים לשיער פגום מאוד 450 מ""ל.jpg",27,,,,,
8400034,"ARGANIA מרכך קיק ללא מלחים לחיזוק שורש השיערה 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מרכך קיק ללא מלחים לחיזוק שורש השיערה 450 מ""ל.jpg",27,,,,,
8400087,"ARGANIA סרום חומצה היאלרונית וקרטין לשיער מסולסל 100 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA סרום חומצה היאלרונית וקרטין לשיער מסולסל 100 מ""ל.jpg",33.9,,,,,
8400036,"ARGANIA סרום קיק לחיזוק שורש השערה 100 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA סרום קיק לחיזוק שורש השערה 100 מ""ל.jpg",33.9,,,,,
8400042,"ARGANIA שמן קיק 100 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA שמן קיק 100 מ""ל.jpg",17.9,,,,,
8400045,"ARGANIA שמפו ארגן לכל סוגי השיער ללא מלחים 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA שמפו ארגן לכל סוגי השיער ללא מלחים  450 מ""ל.jpg",27,,,,,
8400023,"ARGANIA שמפו חומצה היאלורונית וחמאת שיאה לשיער מתולתל ומסולסל 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA שמפו חומצה היאלורונית וחמאת שיאה  לשיער מתולתל ומסולסל 450 מ""ל.jpg",27,,,,,
8400044,"ARGANIA שמפו טיפולי חומצה היאלרונית וקרטין לשיער פגום מאוד ללא מלחים 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA שמפו טיפולי חומצה היאלרונית וקרטין לשיער פגום מאוד ללא מלחים 450 מ""ל.jpg",27,,,,,
8400053,"ARGANIA שמפו קיק ללא מלחים לחיזוק השורש והשערה במניעת נשירה 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA שמפו קיק ללא מלחים לחיזוק השורש והשערה במניעת נשירה 450 מ""ל.jpg",27,,,,,
1500821,VENUS SIMPLY בייסיק סכיני גילוח חד פעמי 5 יח',נשים,יחידה,VENUS,images/מחירון/VENUS SIMPLY בייסיק סכיני גילוח חד פעמי 5 יח'.jpg,9,,,,,
1501015,מגן תחתון אולוויז לארג' 48 יחידות,נשים,יחידה,אולוויז,images/מחירון/מגן תחתון אולוויז לארג' 48 יחידות.jpg,15.8,,,,,
1501001,מגן תחתון אולוויז נורמל פרש 56 יח',נשים,יחידה,אולוויז,images/מחירון/מגן תחתון אולוויז נורמל פרש 56 יח'.jpg,15.8,,,,,
1501019,תחבושות אולוויז אולטרה לונג מידה 2,נשים,יחידה,אולוויז,images/מחירון/תחבושות אולוויז אולטרה לונג מידה 2.jpg,14.4,,,,,18 יחידות
1500887,תחבושות אולוויז אולטרה לילה בטוח אקסטרא מידה 5,נשים,יחידה,אולוויז,images/מחירון/תחבושות אולוויז אולטרה לילה בטוח אקסטרא מידה 5.jpg,21.2,,,,,10 יחידות
1501142,תחבושות אולוויז אולטרה לילה מידה 3,נשים,יחידה,אולוויז,images/מחירון/תחבושות אולוויז אולטרה לילה מידה 3.jpg,14.4,,,,,16 יחידות
1500474,תחבושות אולוויז אולטרה לילה סקיור נייט מידה 4,נשים,יחידה,אולוויז,,21.2,,,,,12 יחידות
1501147,תחבושות אולוויז אולטרה נורמל מידה 1,נשים,יחידה,אולוויז,images/מחירון/תחבושות אולוויז אולטרה נורמל מידה 1.jpg,12.8,,,,,20 יחידות
1600370,PHARMA DENT קיסמי מברשת דו צדדיים 300 יח',כללי,יחידה,PHARMA DENT,images/מחירון/PHARMA DENT קיסמי מברשת דו צדדיים 300 יח'.jpg,9.3,,,,,
1600372,PHARMA DENT קיסמי מברשת דו צדדיים בטעם מנטה 100 יח',כללי,יחידה,PHARMA DENT,images/מחירון/PHARMA DENT קיסמי מברשת דו צדדיים בטעם מנטה 100 יח'.jpg,9.3,,,,,
1600369,PHARMA DENT קיסמי שיניים משולבים בחוט דנטלי בטעם מנטה עדין 36 יח',כללי,יחידה,PHARMA DENT,images/מחירון/PHARMA DENT קיסמי שיניים משולבים בחוט דנטלי בטעם מנטה עדין 36 יח'.jpg,9.3,,,,,
1600623,מברשות שיניים אורל בי סופט שישייה,היגיינת פה,יחידה,אורל בי,images/מחירון/מברשות שיניים אורל בי סופט שישייה.jpg,11,,,,,
1600665,מברשת שיניים אורל בי שלישייה ילדים,היגיינת פה,יחידה,אורל בי,images/מחירון/מברשת שיניים אורל בי שלישייה ילדים.jpg,11,,,,,+2
1600125,מברשת שיניים קולגייט אקסטרא קלין שלישיה,היגיינת פה,יחידה,קולגייט,images/מחירון/מברשת שיניים קולגייט אקסטרא קלין שלישיה.jpg,8,,,,,
1600690,מברשת שיניים קולגייט סופט 360 זוג,היגיינת פה,יחידה,קולגייט,images/מחירון/מברשת שיניים קולגייט סופט 360 זוג.jpg,16.9,,,,,
1600020,"משחת שיניים טום וגרי טעם מסטיק 50 מ""ל",היגיינת פה,יחידה,טום וגרי,"images/מחירון/משחת שיניים טום וגרי טעם מסטיק 50 מ""ל.jpg",8.4,,,,,
1600271,"משחת שיניים סנסודיין קלין אנד פרש 75 מ""ל",היגיינת פה,יחידה,סנסודיין,"images/מחירון/משחת שיניים סנסודיין קלין אנד פרש 75 מ""ל.jpg",15.2,,,,,
1600688,"משחת שיניים קולגייט אדומה 100 מ""ל",היגיינת פה,יחידה,קולגייט,"images/מחירון/משחת שיניים קולגייט אדומה 100 מ""ל.jpg",9.3,,,,,
1600157,"שטיפת פה ליסטרין קולמינט 500 מ""ל",היגיינת פה,יחידה,ליסטרין,"images/מחירון/שטיפת פה ליסטרין קולמינט 500 מ""ל.jpg",16.4,,,,,מגוון טעמים
3101704,LENOR כדוריות הבושם ניחוח פרש 150 גרם,כביסה,יחידה,LENOR,images/מחירון/LENOR כדוריות הבושם ניחוח פרש 150 גרם.jpg,16.9,,,,,מגוון ריחות
3101671,אריאל קפסולות ג'ל לכביסה הסרת כתמים 44 יחידות,כביסה,יחידה,אריאל,images/מחירון/אריאל קפסולות ג'ל לכביסה הסרת כתמים 44 יחידות.jpg,59.9,,,,,
3101674,אריאל קפסולות ג'ל לכביסה 28 יחידות,כביסה,יחידה,אריאל,images/מחירון/אריאל קפסולות ג'ל לכביסה 28 יחידות .jpg,42,,,,,
3101673,אריאל קפסולות ג'ל לכביסה לבנה 28 יחידות,כביסה,יחידה,אריאל,images/מחירון/אריאל קפסולות ג'ל לכביסה לבנה 28 יחידות.jpg,42,,,,,
3101527,פרסיל קפסולות ג'ל לכביסה קולור 44 יחידות,כביסה,יחידה,פרסיל,images/מחירון/פרסיל קפסולות ג'ל לכביסה קולור 44 יחידות.jpg,43.4,,,,,
