id,name,category,unit,brand,image,price,original_price,description
2600860,"פלמוליב קרם רחצה לגוף בניחוח חלב ודבש 750 מ""ל",כללי,יחידה,פלמוליב,"images/מחירון/פלמוליב קרם רחצה לגוף בניחוח חלב ודבש 750 מ""ל.jpg",19.9,,מגוון ריחות
8400027,"ARGANIA מסיכה טיפולית לשיער פגום מאוד מועשר בחומצה היאלורונית וקרטין ללא מלחים 500 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מסיכה טיפולית לשיער פגום מאוד מועשר בחומצה היאלורונית וקרטין ללא מלחים 500 מ""ל.jpg",39.9,,
8400020,"ARGANIA מסיכה לשיער מתולתל ומסולסל על בסיס חומצה היאלורונית וחמאת שיאה 500 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מסיכה לשיער מתולתל ומסולסל על בסיס חומצה היאלורונית וחמאת שיאה 500 מ""ל.jpg",39.9,,
8400029,"ARGANIA מסיכה לשיער קיק לחיזוק השורש והשיערה 500 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מסיכה לשיער קיק לחיזוק השורש והשיערה 500 מ""ל.jpg",39.9,,
8400028,"ARGANIA מסיכה לשיער שעבר החלקה על בסיס קרטין וארגן 500 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מסיכה לשיער שעבר החלקה על בסיס קרטין וארגן 500 מ""ל.jpg",39.9,,
8400031,"ARGANIA מרכך ארגן לכל סוגי השיער ללא מלחים 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מרכך ארגן לכל סוגי השיער ללא מלחים  450 מ""ל.jpg",29.9,,
8400024,"ARGANIA מרכך חומצה היאלורונית וחמאת שיאה לשיער מתולתל ומסולסל 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מרכך חומצה היאלורונית וחמאת שיאה לשיער מתולתל ומסולסל 450 מ""ל.jpg",29.9,,
8400032,"ARGANIA מרכך טיפולי חומצה היאלרונית וקרטין ללא מלחים לשיער פגום מאוד 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מרכך טיפולי חומצה היאלרונית וקרטין ללא מלחים לשיער פגום מאוד 450 מ""ל.jpg",29.9,,
8400034,"ARGANIA מרכך קיק ללא מלחים לחיזוק שורש השיערה 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA מרכך קיק ללא מלחים לחיזוק שורש השיערה 450 מ""ל.jpg",29.9,,
8400087,"ARGANIA סרום חומצה היאלרונית וקרטין לשיער מסולסל 100 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA סרום חומצה היאלרונית וקרטין לשיער מסולסל 100 מ""ל.jpg",39.9,,
8400036,"ARGANIA סרום קיק לחיזוק שורש השערה 100 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA סרום קיק לחיזוק שורש השערה 100 מ""ל.jpg",39.9,,
8400042,"ARGANIA שמן קיק 100 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA שמן קיק 100 מ""ל.jpg",19.9,,
8400045,"ARGANIA שמפו ארגן לכל סוגי השיער ללא מלחים 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA שמפו ארגן לכל סוגי השיער ללא מלחים  450 מ""ל.jpg",29.9,,
8400023,"ARGANIA שמפו חומצה היאלורונית וחמאת שיאה לשיער מתולתל ומסולסל 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA שמפו חומצה היאלורונית וחמאת שיאה  לשיער מתולתל ומסולסל 450 מ""ל.jpg",29.9,,
8400044,"ARGANIA שמפו טיפולי חומצה היאלרונית וקרטין לשיער פגום מאוד ללא מלחים 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA שמפו טיפולי חומצה היאלרונית וקרטין לשיער פגום מאוד ללא מלחים 450 מ""ל.jpg",29.9,,
8400053,"ARGANIA שמפו קיק ללא מלחים לחיזוק השורש והשערה במניעת נשירה 450 מ""ל",שיער,יחידה,ARGANIA,"images/מחירון/ARGANIA שמפו קיק ללא מלחים לחיזוק השורש והשערה במניעת נשירה 450 מ""ל.jpg",29.9,,
1500821,VENUS SIMPLY בייסיק סכיני גילוח חד פעמי 5 יח',נשים,יחידה,VENUS,images/מחירון/VENUS SIMPLY בייסיק סכיני גילוח חד פעמי 5 יח'.jpg,9.9,,
1501015,מגן תחתון אולוויז לארג' 48 יחידות,נשים,יחידה,אולוויז,images/מחירון/מגן תחתון אולוויז לארג' 48 יחידות.jpg,16.9,,
1501001,מגן תחתון אולוויז נורמל פרש 56 יח',נשים,יחידה,אולוויז,images/מחירון/מגן תחתון אולוויז נורמל פרש 56 יח'.jpg,16.9,,
1501019,תחבושות אולוויז אולטרה לונג מידה 2,נשים,יחידה,אולוויז,images/מחירון/תחבושות אולוויז אולטרה לונג מידה 2.jpg,16.9,,18 יחידות
1500887,תחבושות אולוויז אולטרה לילה בטוח אקסטרא מידה 5,נשים,יחידה,אולוויז,images/מחירון/תחבושות אולוויז אולטרה לילה בטוח אקסטרא מידה 5.jpg,24.9,,10 יחידות
1501142,תחבושות אולוויז אולטרה לילה מידה 3,נשים,יחידה,אולוויז,images/מחירון/תחבושות אולוויז אולטרה לילה מידה 3.jpg,16.9,,16 יחידות
1500474,תחבושות אולוויז אולטרה לילה סקיור נייט מידה 4,נשים,יחידה,אולוויז,,24.9,,12 יחידות
1501147,תחבושות אולוויז אולטרה נורמל מידה 1,נשים,יחידה,אולוויז,images/מחירון/תחבושות אולוויז אולטרה נורמל מידה 1.jpg,13.9,,20 יחידות
1600370,PHARMA DENT קיסמי מברשת דו צדדיים 300 יח',כללי,יחידה,PHARMA DENT,images/מחירון/PHARMA DENT קיסמי מברשת דו צדדיים 300 יח'.jpg,10.9,,
