id,title,description,availability,condition,price,sale_price,link,image_link,brand
2600860,"פלמוליב קרם רחצה לגוף בניחוח חלב ודבש 750 מ""ל",מגוון ריחות,in stock,new,19.90 ILS,,https://aroam.co.il/care/?product=2600860,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/%D7%A4%D7%9C%D7%9E%D7%95%D7%9C%D7%99%D7%91%20%D7%A7%D7%A8%D7%9D%20%D7%A8%D7%97%D7%A6%D7%94%20%D7%9C%D7%92%D7%95%D7%A3%20%D7%91%D7%A0%D7%99%D7%97%D7%95%D7%97%20%D7%97%D7%9C%D7%91%20%D7%95%D7%93%D7%91%D7%A9%20750%20%D7%9E%22%D7%9C.jpg,פלמוליב
8400027,"ARGANIA מסיכה טיפולית לשיער פגום מאוד מועשר בחומצה היאלורונית וקרטין ללא מלחים 500 מ""ל","ARGANIA מסיכה טיפולית לשיער פגום מאוד מועשר בחומצה היאלורונית וקרטין ללא מלחים 500 מ""ל",in stock,new,39.90 ILS,,https://aroam.co.il/care/?product=8400027,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/ARGANIA%20%D7%9E%D7%A1%D7%99%D7%9B%D7%94%20%D7%98%D7%99%D7%A4%D7%95%D7%9C%D7%99%D7%AA%20%D7%9C%D7%A9%D7%99%D7%A2%D7%A8%20%D7%A4%D7%92%D7%95%D7%9D%20%D7%9E%D7%90%D7%95%D7%93%20%D7%9E%D7%95%D7%A2%D7%A9%D7%A8%20%D7%91%D7%97%D7%95%D7%9E%D7%A6%D7%94%20%D7%94%D7%99%D7%90%D7%9C%D7%95%D7%A8%D7%95%D7%A0%D7%99%D7%AA%20%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%9F%20%D7%9C%D7%9C%D7%90%20%D7%9E%D7%9C%D7%97%D7%99%D7%9D%20500%20%D7%9E%22%D7%9C.jpg,ARGANIA
8400020,"ARGANIA מסיכה לשיער מתולתל ומסולסל על בסיס חומצה היאלורונית וחמאת שיאה 500 מ""ל","ARGANIA מסיכה לשיער מתולתל ומסולסל על בסיס חומצה היאלורונית וחמאת שיאה 500 מ""ל",in stock,new,39.90 ILS,,https://aroam.co.il/care/?product=8400020,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/ARGANIA%20%D7%9E%D7%A1%D7%99%D7%9B%D7%94%20%D7%9C%D7%A9%D7%99%D7%A2%D7%A8%20%D7%9E%D7%AA%D7%95%D7%9C%D7%AA%D7%9C%20%D7%95%D7%9E%D7%A1%D7%95%D7%9C%D7%A1%D7%9C%20%D7%A2%D7%9C%20%D7%91%D7%A1%D7%99%D7%A1%20%D7%97%D7%95%D7%9E%D7%A6%D7%94%20%D7%94%D7%99%D7%90%D7%9C%D7%95%D7%A8%D7%95%D7%A0%D7%99%D7%AA%20%D7%95%D7%97%D7%9E%D7%90%D7%AA%20%D7%A9%D7%99%D7%90%D7%94%20500%20%D7%9E%22%D7%9C.jpg,ARGANIA
8400029,"ARGANIA מסיכה לשיער קיק לחיזוק השורש והשיערה 500 מ""ל","ARGANIA מסיכה לשיער קיק לחיזוק השורש והשיערה 500 מ""ל",in stock,new,39.90 ILS,,https://aroam.co.il/care/?product=8400029,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/ARGANIA%20%D7%9E%D7%A1%D7%99%D7%9B%D7%94%20%D7%9C%D7%A9%D7%99%D7%A2%D7%A8%20%D7%A7%D7%99%D7%A7%20%D7%9C%D7%97%D7%99%D7%96%D7%95%D7%A7%20%D7%94%D7%A9%D7%95%D7%A8%D7%A9%20%D7%95%D7%94%D7%A9%D7%99%D7%A2%D7%A8%D7%94%20500%20%D7%9E%22%D7%9C.jpg,ARGANIA
8400028,"ARGANIA מסיכה לשיער שעבר החלקה על בסיס קרטין וארגן 500 מ""ל","ARGANIA מסיכה לשיער שעבר החלקה על בסיס קרטין וארגן 500 מ""ל",in stock,new,39.90 ILS,,https://aroam.co.il/care/?product=8400028,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/ARGANIA%20%D7%9E%D7%A1%D7%99%D7%9B%D7%94%20%D7%9C%D7%A9%D7%99%D7%A2%D7%A8%20%D7%A9%D7%A2%D7%91%D7%A8%20%D7%94%D7%97%D7%9C%D7%A7%D7%94%20%D7%A2%D7%9C%20%D7%91%D7%A1%D7%99%D7%A1%20%D7%A7%D7%A8%D7%98%D7%99%D7%9F%20%D7%95%D7%90%D7%A8%D7%92%D7%9F%20500%20%D7%9E%22%D7%9C.jpg,ARGANIA
8400031,"ARGANIA מרכך ארגן לכל סוגי השיער ללא מלחים 450 מ""ל","ARGANIA מרכך ארגן לכל סוגי השיער ללא מלחים 450 מ""ל",in stock,new,29.90 ILS,,https://aroam.co.il/care/?product=8400031,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/ARGANIA%20%D7%9E%D7%A8%D7%9B%D7%9A%20%D7%90%D7%A8%D7%92%D7%9F%20%D7%9C%D7%9B%D7%9C%20%D7%A1%D7%95%D7%92%D7%99%20%D7%94%D7%A9%D7%99%D7%A2%D7%A8%20%D7%9C%D7%9C%D7%90%20%D7%9E%D7%9C%D7%97%D7%99%D7%9D%20%20450%20%D7%9E%22%D7%9C.jpg,ARGANIA
8400024,"ARGANIA מרכך חומצה היאלורונית וחמאת שיאה לשיער מתולתל ומסולסל 450 מ""ל","ARGANIA מרכך חומצה היאלורונית וחמאת שיאה לשיער מתולתל ומסולסל 450 מ""ל",in stock,new,29.90 ILS,,https://aroam.co.il/care/?product=8400024,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/ARGANIA%20%D7%9E%D7%A8%D7%9B%D7%9A%20%D7%97%D7%95%D7%9E%D7%A6%D7%94%20%D7%94%D7%99%D7%90%D7%9C%D7%95%D7%A8%D7%95%D7%A0%D7%99%D7%AA%20%D7%95%D7%97%D7%9E%D7%90%D7%AA%20%D7%A9%D7%99%D7%90%D7%94%20%D7%9C%D7%A9%D7%99%D7%A2%D7%A8%20%D7%9E%D7%AA%D7%95%D7%9C%D7%AA%D7%9C%20%D7%95%D7%9E%D7%A1%D7%95%D7%9C%D7%A1%D7%9C%20450%20%D7%9E%22%D7%9C.jpg,ARGANIA
8400032,"ARGANIA מרכך טיפולי חומצה היאלרונית וקרטין ללא מלחים לשיער פגום מאוד 450 מ""ל","ARGANIA מרכך טיפולי חומצה היאלרונית וקרטין ללא מלחים לשיער פגום מאוד 450 מ""ל",in stock,new,29.90 ILS,,https://aroam.co.il/care/?product=8400032,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/ARGANIA%20%D7%9E%D7%A8%D7%9B%D7%9A%20%D7%98%D7%99%D7%A4%D7%95%D7%9C%D7%99%20%D7%97%D7%95%D7%9E%D7%A6%D7%94%20%D7%94%D7%99%D7%90%D7%9C%D7%A8%D7%95%D7%A0%D7%99%D7%AA%20%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%9F%20%D7%9C%D7%9C%D7%90%20%D7%9E%D7%9C%D7%97%D7%99%D7%9D%20%D7%9C%D7%A9%D7%99%D7%A2%D7%A8%20%D7%A4%D7%92%D7%95%D7%9D%20%D7%9E%D7%90%D7%95%D7%93%20450%20%D7%9E%22%D7%9C.jpg,ARGANIA
8400034,"ARGANIA מרכך קיק ללא מלחים לחיזוק שורש השיערה 450 מ""ל","ARGANIA מרכך קיק ללא מלחים לחיזוק שורש השיערה 450 מ""ל",in stock,new,29.90 ILS,,https://aroam.co.il/care/?product=8400034,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/ARGANIA%20%D7%9E%D7%A8%D7%9B%D7%9A%20%D7%A7%D7%99%D7%A7%20%D7%9C%D7%9C%D7%90%20%D7%9E%D7%9C%D7%97%D7%99%D7%9D%20%D7%9C%D7%97%D7%99%D7%96%D7%95%D7%A7%20%D7%A9%D7%95%D7%A8%D7%A9%20%D7%94%D7%A9%D7%99%D7%A2%D7%A8%D7%94%20450%20%D7%9E%22%D7%9C.jpg,ARGANIA
8400087,"ARGANIA סרום חומצה היאלרונית וקרטין לשיער מסולסל 100 מ""ל","ARGANIA סרום חומצה היאלרונית וקרטין לשיער מסולסל 100 מ""ל",in stock,new,39.90 ILS,,https://aroam.co.il/care/?product=8400087,https://aroam.co.il/images/%D7%9E%D7%97%D7%99%D7%A8%D7%95%D7%9F/ARGANIA%20%D7%A1%D7%A8%D7%95%D7%9D%20%D7%97%D7%95%D7%9E%D7%A6%D7%94%20%D7%94%D7%99%D7%90%D7%9C%D7%A8%D7%95%D7%A0%D7%99%D7%AA%20%D7%95%D7%A7%D7%A8%D7%98%D7%99%D7%9F%20%D7%9C%D7%A9%D7%99%D7%A2%D7%A8%20%D7%9E%D7%A1%D7%95%D7%9C%D7%A1%D7%9C%20100%20%D7%9E%22%D7%9C.jpg,ARGANIA
